Угол атаки 0 градусов;;;;;;;;
№;h1;h2;r;Cx;Cy;Cmz;Cxa;Cya
1;0,01;0,01;0,01;0,002258838;4,94326E-05;2,7464E-05;-0,002258838;4,94326E-05
2;;0,05;0,05;0,089276171;0,000531849;0,000354842;-0,089276171;0,000531849
3;;0,1;0,1;0,367154204;-0,000179903;-0,000561275;-0,367154204;-0,000179903
4;;0,2;0,2;1,429871332;0,001420412;0,000687188;-1,429871332;0,001420412
5;;0,3;0,3;3,137542854;-0,008471774;-0,008535414;-3,137542854;-0,008471774
6;0,05;0,01;0,01;0,002227472;4,51954E-05;3,05373E-05;-0,002227472;4,51954E-05
7;;0,05;0,05;0,054950389;0,000429912;0,000245592;-0,054950389;0,000429912
8;;0,1;0,1;0,264734915;-0,002468086;-0,002237719;-0,264734915;-0,002468086
9;;0,2;0,2;1,319588996;-0,003746858;-0,005062639;-1,319588996;-0,003746858
10;;0,3;0,3;3,222717916;0,011721384;0,008108372;-3,222717916;0,011721384
11;0,2;0,01;0,01;0,003744959;6,84663E-06;-1,72238E-06;-0,003744959;6,84663E-06
12;;0,05;0,05;0,050149443;-0,000220496;1,97945E-05;-0,050149443;-0,000220496
13;;0,1;0,1;0,196556452;-0,000706454;0,000780751;-0,196556452;-0,000706454
14;;0,2;0,2;0,913901704;0,0138609;0,006519813;-0,913901704;0,0138609
15;;0,3;0,3;2,065719669;-0,007410896;-0,009059617;-2,065719669;-0,007410896
16;0,3;0,01;0,01;0,004632445;1,18046E-05;-4,53186E-06;-0,004632445;1,18046E-05
17;;0,05;0,05;0,055064147;-0,000313773;0,000187969;-0,055064147;-0,000313773
18;;0,1;0,1;0,201765471;-0,002214757;-0,000246483;-0,201765471;-0,002214757
19;;0,2;0,2;0,854786511;-0,001090443;-0,002178552;-0,854786511;-0,001090443
20;;0,3;0,3;2,053020423;0,028774644;0,012338037;-2,053020423;0,028774644
;;;;;;;;
№;h2;h1;r;Cx;Cy;Cmz;Cxa;Cya
21;0,01;0,01;0,01;0,002258838;4,94326E-05;2,7464E-05;-0,002258838;4,94326E-05
22;;0,05;0,05;0,118501022;0,000311977;0,000172211;-0,118501022;0,000311977
23;;0,1;0,1;0,652460532;0,00400776;0,001768004;-0,652460532;0,00400776
24;;0,2;0,2;2,707422257;0,018295887;0,008680594;-2,707422257;0,018295887
25;;0,3;0,3;6,181179217;0,066206134;0,033283513;-6,181179217;0,066206134
26;0,05;0,01;0,01;0,001759725;-3,40281E-07;-7,50416E-07;-0,001759725;-3,40281E-07
27;;0,05;0,05;0,054950389;0,000429912;0,000245592;-0,054950389;0,000429912
28;;0,1;0,1;0,31669663;0,000499289;0,00021524;-0,31669663;0,000499289
29;;0,2;0,2;1,745076724;-0,002484241;-0,000536583;-1,745076724;-0,002484241
30;;0,3;0,3;5,539757994;-0,043751599;-0,024279175;-5,539757994;-0,043751599
31;0,2;0,01;0,01;0,001971363;1,84124E-05;1,73569E-05;-0,001971363;1,84124E-05
32;;0,05;0,05;0,044170255;0,000227434;5,54268E-05;-0,044170255;0,000227434
33;;0,1;0,1;0,183531284;-0,001144488;-0,000946877;-0,183531284;-0,001144488
34;;0,2;0,2;0,913901704;0,0138609;0,006519813;-0,913901704;0,0138609
35;;0,3;0,3;2,413737525;-0,014281507;-0,009281957;-2,413737525;-0,014281507
36;0,3;0,01;0,01;0,002365511;3,6204E-07;1,67683E-06;-0,002365511;3,6204E-07
37;;0,05;0,05;0,045974589;-4,9178E-05;0,00011998;-0,045974589;-4,9178E-05
